name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Shape of You,÷ (Deluxe),Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,2017-03-03,85,233712,0.825,0.581,0.652,0.0,0.0931,0.931,-3.183,0.0802,95.977,1,4
Love Galore (feat. Travis Scott),Ctrl,SZA,0q75NwOoFiARAVp4EXU4Bs,2017-06-09,76,275080,0.795,0.112,0.594,0.0,0.162,0.409,-6.2,0.0748,135.002,0,4
Wake Me Up,True,Avicii,0nrRP2bk19rLc0orkWPQk2,2013-01-01,85,247426,0.532,0.0038,0.783,0.0012,0.161,0.643,-5.697,0.0523,124.08,2,4
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,2016-05-06,77,236001,0.666,0.0123,0.83,0.0,0.191,0.702,-5.715,0.0751,113.03,0,4
Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,47Slg6LuqLaX0VodpSCvPt,2010-10-05,78,220734,0.635,0.0134,0.841,0.0,0.0622,0.424,-5.379,0.0422,109.021,5,4
Someone Like You,21,Adele,6QPKYGnAW9QozVz2dSWqRg,2011-01-19,3,285240,0.554,0.893,0.321,0.0,0.0996,0.288,-8.251,0.028,135.047,9,4
One Last Time,My Everything (Deluxe),Ariana Grande,7xoUc6faLbCqZO6fQEYprd,2014-08-25,80,197266,0.628,0.093,0.593,1.65e-06,0.096,0.104,-5.036,0.0323,125.026,8,4
Paris,Memories...Do Not Open,The Chainsmokers,72jbDTw1piOOj770jWNeaG,2017-04-07,74,221506,0.653,0.0215,0.658,1.66e-06,0.0939,0.219,-6.428,0.0304,99.99,2,4
The Weekend,Ctrl,SZA,6gU9OKjOE7ghfEd55oRO57,2017-06-09,73,272186,0.4,0.242,0.366,0.0,0.126,0.161,-9.405,0.0597,73.313,8,3
"Love Me Like You Do - From ""Fifty Shades Of Grey""","Love Me Like You Do (From ""Fifty Shades Of Grey"")",Ellie Goulding,7y2YUIyCuVhBidENVT0068,2015-01-07,0,252538,0.258,0.281,0.631,0.0,0.127,0.266,-6.617,0.0541,189.583,5,4
Young Dumb & Broke,American Teen,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,2017-04-27,80,202546,0.799,0.199,0.539,1.66e-05,0.165,0.394,-6.351,0.0421,136.948,1,4
Shallow - Radio Edit,A Star Is Born Soundtrack (Without Dialogue),Lady Gaga,6QfS2wq5sSC1xAJCQsTSlj,2018-10-05,72,217212,0.575,0.416,0.33,0.0,0.0872,0.277,-6.557,0.031,95.801,7,4
rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,0e7ipj03S05BNilyu5bRzt,2018-04-27,84,218146,0.585,0.124,0.52,7.01e-05,0.131,0.129,-6.136,0.0712,159.801,5,4
MIA (feat. Drake),MIA (feat. Drake),Bad Bunny,116H0KvKr2Zl4RPuVBruDO,2018-10-11,78,210367,0.817,0.0141,0.539,0.000496,0.099,0.158,-6.349,0.0621,97.062,6,4
X,Intimo,Nicky Jam,5YUyW9opqNsMSEzzecZih1,2019-11-01,75,172854,0.594,0.0338,0.749,0.00106,0.3,0.694,-5.298,0.056,179.968,9,4
